Ne vsebuje 	18000: -0.963 
Ne vsebuje 	18001: -0.613 
Ne vsebuje 	18002: -0.545 
Ne vsebuje 	18003: -0.960 
Ne vsebuje 	18004: -0.583 
Ne vsebuje 	18005: -1.038 
Ne vsebuje 	18006: -0.873 
Ne vsebuje 	18007: -0.581 
Ne vsebuje 	18008: -0.617 
Vsebuje 	18009: -0.017 
Ne vsebuje 	18010: -0.725 
Ne vsebuje 	18011: -0.554 
Vsebuje 	18012: -1.030 
Ne vsebuje 	18013: -0.773 
Vsebuje 	18014: 0.687 
Vsebuje 	18015: 0.204 
Vsebuje 	18016: 1.409 
Vsebuje 	18017: 1.358 
Vsebuje 	18018: 1.011 
Vsebuje 	18019: 0.743 
Vsebuje 	18020: -1.017 
Vsebuje 	18021: -0.633 
Vsebuje 	18022: 0.606 
Vsebuje 	18023: 0.333 
Vsebuje 	18024: -0.077 
Vsebuje 	18025: 0.070 
Vsebuje 	18026: 0.960 
Vsebuje 	18027: 0.123 
Ne vsebuje 	18028: -1.373 
Ne vsebuje 	18029: -0.708 
Vsebuje 	18030: 0.745 
Vsebuje 	18031: 0.100 
Vsebuje 	18032: 0.228 
Vsebuje 	18033: 1.035 
Vsebuje 	18034: 0.921 
Vsebuje 	18035: 0.041 
Vsebuje 	18036: -0.015 
Vsebuje 	18037: 1.282 
Vsebuje 	18038: 0.402 
Vsebuje 	18039: 1.638 
Vsebuje 	18040: 0.256 
Ne vsebuje 	18041: -1.439 
Ne vsebuje 	18042: -1.033 
Ne vsebuje 	18043: -0.792 
Ne vsebuje 	18044: -1.051 
Ne vsebuje 	18045: -1.129 
Ne vsebuje 	18046: -1.228 
Ne vsebuje 	18047: -1.184 
Ne vsebuje 	18048: -1.399 
Ne vsebuje 	18049: -1.077 
Ne vsebuje 	18050: -0.755 
Ne vsebuje 	18051: -1.134 
Ne vsebuje 	18052: -1.071 
Ne vsebuje 	18053: -1.259 
Ne vsebuje 	18054: -1.360 
Ne vsebuje 	18055: -1.083 
Ne vsebuje 	18056: -1.090 
Ne vsebuje 	18057: -0.909 
Ne vsebuje 	18058: -1.064 
Ne vsebuje 	18059: -1.217 
Ne vsebuje 	18060: -0.971 
Ne vsebuje 	18061: -1.096 
Ne vsebuje 	18062: -0.905 
Ne vsebuje 	18063: 0.082 
Ne vsebuje 	18064: -1.077 
Ne vsebuje 	18065: -0.003 
Ne vsebuje 	18066: -0.868 
Ne vsebuje 	18067: -1.220 
Ne vsebuje 	18068: -1.260 
Ne vsebuje 	18069: -1.294 
Ne vsebuje 	18070: -1.189 
Ne vsebuje 	18071: -1.156 
Ne vsebuje 	18072: -1.156 
Ne vsebuje 	18073: -0.959 
Ne vsebuje 	18074: -1.059 
Ne vsebuje 	18075: -1.122 
Ne vsebuje 	18076: -0.838 
Ne vsebuje 	18077: -0.933 
Ne vsebuje 	18078: -1.114 
Ne vsebuje 	18079: -1.315 
Ne vsebuje 	18080: -1.106 
Ne vsebuje 	18081: -1.083 
Ne vsebuje 	18082: -1.083 
Ne vsebuje 	18083: -0.633 
Ne vsebuje 	18084: -1.141 
Ne vsebuje 	18085: -1.348 
Ne vsebuje 	18086: -1.064 
Ne vsebuje 	18087: -1.139 
Ne vsebuje 	18088: -1.345 
Ne vsebuje 	18089: -1.242 
Ne vsebuje 	18090: -0.830 
Ne vsebuje 	18091: -1.103 
Ne vsebuje 	18092: -1.310 
Ne vsebuje 	18093: -1.448 
Ne vsebuje 	18094: -0.888 
Ne vsebuje 	18095: -0.209 
Ne vsebuje 	18096: -0.647 
Ne vsebuje 	18097: -1.233 
Ne vsebuje 	18098: -0.838 
Ne vsebuje 	18099: -1.308 
Ne vsebuje 	18100: -1.118 
Ne vsebuje 	18101: -1.173 
Ne vsebuje 	18102: -0.905 
Ne vsebuje 	18103: -1.156 
Ne vsebuje 	18104: -1.116 
Ne vsebuje 	18105: -1.283 
Ne vsebuje 	18106: -0.808 
Ne vsebuje 	18107: -0.902 
Vsebuje 	18108: 0.088 
Ne vsebuje 	18109: -0.221 
Ne vsebuje 	18110: -0.797 
Vsebuje 	18111: -0.425 
Ne vsebuje 	18112: -1.980 
Ne vsebuje 	18113: -0.637 
Ne vsebuje 	18114: -0.991 
Ne vsebuje 	18115: -0.464 
Ne vsebuje 	18116: -1.057 
Ne vsebuje 	18117: -1.355 
Ne vsebuje 	18118: -0.842 
Ne vsebuje 	18119: -1.105 
Ne vsebuje 	18120: -1.439 
Ne vsebuje 	18121: -0.825 
Vsebuje 	18122: -0.653 
Vsebuje 	18123: 0.273 
Vsebuje 	18124: -0.929 
Ne vsebuje 	18125: -0.480 
Vsebuje 	18126: 0.731 
Ne vsebuje 	18127: -1.258 
Vsebuje 	18128: -0.398 
Ne vsebuje 	18129: -0.811 
Vsebuje 	18130: -0.372 
Ne vsebuje 	18131: -1.257 
Vsebuje 	18132: -0.530 
